Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
462.304	1142	
462.336	1148	
462.369	1144	
462.401	1142	
462.433	1154	
462.466	1156	
462.498	1170	
462.531	1158	
462.563	1182	
462.595	1180	
462.628	1196	
462.66	1194	
462.693	1200	
462.725	1210	
462.757	1218	
462.79	1228	
462.822	1222	
462.855	1238	
462.887	1248	
462.919	1264	
462.952	1270	
462.984	1282	
463.017	1284	
463.049	1302	
463.081	1302	
463.114	1310	
463.146	1332	
463.178	1352	
463.211	1344	
463.243	1370	
463.276	1374	
463.308	1392	
463.34	1392	
463.373	1406	
463.405	1434	
463.438	1424	
463.47	1450	
463.502	1456	
463.535	1462	
463.567	1490	
463.599	1506	
463.632	1510	
463.664	1528	
463.697	1546	
463.729	1566	
463.761	1554	
463.794	1578	
463.826	1608	
463.858	1598	
463.891	1618	
463.923	1628	
463.955	1644	
463.988	1646	
464.02	1674	
464.052	1666	
464.085	1706	
464.117	1724	
464.15	1720	
464.182	1710	
464.214	1738	
464.247	1736	
464.279	1750	
464.311	1756	
464.344	1788	
464.376	1792	
464.408	1804	
464.441	1812	
464.473	1832	
464.505	1844	
464.538	1814	
464.57	1854	
464.602	1844	
464.635	1872	
464.667	1878	
464.699	1886	
464.732	1916	
464.764	1908	
464.796	1914	
464.829	1942	
464.861	1952	
464.893	1934	
464.926	1954	
464.958	1988	
464.99	1988	
465.023	1982	
465.055	1986	
465.087	1992	
465.12	2022	
465.152	2034	
465.184	2044	
465.217	2040	
465.249	2040	
465.281	2068	
465.314	2064	
465.346	2062	
465.378	2098	
465.411	2090	
465.443	2090	
465.475	2110	
465.508	2150	
465.54	2120	
465.572	2138	
465.604	2162	
465.637	2168	
465.669	2182	
465.701	2184	
465.734	2216	
465.766	2174	
465.798	2204	
465.831	2242	
465.863	2228	
465.895	2248	
465.927	2262	
465.96	2274	
465.992	2276	
466.024	2312	
466.057	2300	
466.089	2312	
466.121	2320	
466.154	2330	
466.186	2332	
466.218	2348	
466.25	2362	
466.283	2388	
466.315	2402	
466.347	2426	
466.38	2394	
466.412	2408	
466.444	2412	
466.476	2412	
466.509	2420	
466.541	2438	
466.573	2450	
466.606	2464	
466.638	2440	
466.67	2490	
466.702	2512	
466.735	2480	
466.767	2508	
466.799	2490	
466.831	2540	
466.864	2544	
466.896	2592	
466.928	2582	
466.96	2608	
466.993	2644	
467.025	2618	
467.057	2632	
467.09	2642	
467.122	2608	
467.154	2628	
467.186	2630	
467.219	2716	
467.251	2690	
467.283	2736	
467.315	2684	
467.348	2744	
467.38	2716	
467.412	2782	
467.444	2776	
467.477	2780	
467.509	2796	
467.541	2836	
467.573	2822	
467.606	2848	
467.638	2866	
467.67	2902	
467.702	2884	
467.735	2912	
467.767	2906	
467.799	2950	
467.831	2944	
467.863	2992	
467.896	2962	
467.928	2974	
467.96	2966	
467.992	3004	
468.025	3048	
468.057	3044	
468.089	3040	
468.121	3158	
468.154	3086	
468.186	3054	
468.218	3108	
468.25	3136	
468.282	3126	
468.315	3116	
468.347	3148	
468.379	3150	
468.411	3118	
468.444	3116	
468.476	3116	
468.508	3144	
468.54	3090	
468.572	3162	
468.605	3094	
468.637	3088	
468.669	3112	
468.701	3104	
468.733	3072	
468.766	3024	
468.798	3084	
468.83	3020	
468.862	3042	
468.895	3042	
468.927	2994	
468.959	2988	
468.991	2950	
469.023	2930	
469.056	2972	
469.088	2910	
469.12	2886	
469.152	2850	
469.184	2860	
469.216	2822	
469.249	2784	
469.281	2774	
469.313	2740	
469.345	2732	
469.377	2670	
469.41	2602	
469.442	2582	
469.474	2608	
469.506	2556	
469.538	2516	
469.571	2458	
469.603	2450	
469.635	2410	
469.667	2368	
469.699	2342	
469.731	2314	
469.764	2266	
469.796	2222	
469.828	2228	
469.86	2176	
469.892	2134	
469.924	2120	
469.957	2102	
469.989	2066	
470.021	2006	
470.053	1990	
470.085	1944	
470.117	1938	
470.15	1892	
470.182	1880	
470.214	1846	
470.246	1814	
470.278	1784	
470.31	1752	
470.343	1710	
470.375	1704	
470.407	1680	
470.439	1638	
470.471	1622	
470.503	1606	
470.535	1582	
470.568	1534	
470.6	1546	
470.632	1516	
470.664	1474	
470.696	1462	
470.728	1460	
470.761	1428	
470.793	1404	
470.825	1398	
470.857	1394	
470.889	1372	
470.921	1358	
470.953	1330	
470.985	1330	
471.018	1316	
471.05	1282	
471.082	1280	
471.114	1270	
471.146	1262	
471.178	1232	
471.21	1250	
471.243	1218	
471.275	1218	
471.307	1202	
471.339	1200	
471.371	1198	
471.403	1186	
471.435	1166	
471.467	1164	
471.5	1152	
471.532	1152	
471.564	1144	
471.596	1140	
471.628	1136	
471.66	1128	
471.692	1122	
471.724	1112	
471.756	1112	
471.789	1110	
471.821	1106	
471.853	1094	
471.885	1092	
471.917	1092	
471.949	1098	
471.981	1078	
472.013	1074	
472.045	1076	
472.077	1070	
472.11	1070	
472.142	1064	
472.174	1060	
472.206	1068	
472.238	1054	
472.27	1074	
472.302	1062	
472.334	1050	
472.366	1052	
472.398	1052	
472.43	1040	
472.463	1046	
472.495	1048	
472.527	1042	
472.559	1042	
472.591	1038	
472.623	1034	
472.655	1036	
472.687	1038	
472.719	1036	
472.751	1036	
472.783	1038	
472.815	1034	
472.848	1026	
472.88	1034	
472.912	1030	
472.944	1030	
472.976	1030	
473.008	1030	
473.04	1026	
473.072	1026	
473.104	1028	
473.136	1026	
473.168	1030	
473.2	1022	
473.232	1032	
473.264	1024	
473.296	1024	
473.329	1024	
473.361	1024	
473.393	1022	
473.425	1022	
473.457	1018	
473.489	1022	
473.521	1028	
473.553	1026	
473.585	1028	
473.617	1020	
473.649	1024	
473.681	1018	
473.713	1018	
473.745	1024	
473.777	1016	
473.809	1020	
473.841	1022	
473.873	1020	
473.905	1016	
473.937	1014	
473.969	1016	
474.001	1024	
474.034	1014	
474.066	1018	
474.098	1024	
474.13	1024	
474.162	1016	
474.194	1018	
474.226	1016	
474.258	1020	
474.29	1014	
474.322	1012	
474.354	1018	
474.386	1014	
474.418	1016	
474.45	1018	
474.482	1020	
474.514	1012	
474.546	1016	
474.578	1018	
474.61	1018	
474.642	1018	
474.674	1020	
474.706	1018	
474.738	1018	
474.77	1022	
474.802	1018	
474.834	1016	
474.866	1020	
474.898	1016	
474.93	1016	
474.962	1020	
474.994	1022	
475.026	1014	
475.058	1018	
475.09	1016	
475.122	1020	
475.154	1018	
475.186	1016	
475.218	1014	
475.25	1020	
475.282	1014	
475.314	1016	
475.346	1014	
475.378	1010	
475.41	1018	
475.442	1012	
475.474	1016	
475.506	1012	
475.538	1016	
475.57	1018	
475.602	1022	
475.634	1012	
475.666	1016	
475.698	1010	
475.73	1014	
475.762	1012	
475.794	1022	
475.826	1014	
475.858	1018	
475.89	1020	
475.922	1018	
475.954	1018	
475.986	1014	
476.018	1014	
476.05	1016	
476.082	1014	
476.114	1018	
476.145	1010	
476.177	1024	
476.209	1016	
476.241	1012	
476.273	1016	
476.305	1016	
476.337	1016	
476.369	1020	
476.401	1014	
476.433	1012	
476.465	1012	
476.497	1010	
476.529	1018	
476.561	1016	
476.593	1016	
476.625	1018	
476.657	1010	
476.689	1016	
476.721	1016	
476.753	1010	
476.785	1016	
476.816	1012	
476.848	1016	
476.88	1010	
476.912	1018	
476.944	1014	
476.976	1012	
477.008	1010	
477.04	1008	
477.072	1016	
477.104	1012	
477.136	1012	
477.168	1014	
477.2	1020	
477.232	1012	
477.264	1016	
477.295	1014	
477.327	1010	
477.359	1008	
477.391	1018	
477.423	1018	
477.455	1012	
477.487	1012	
477.519	1010	
477.551	1012	
477.583	1012	
477.615	1018	
477.647	1016	
477.678	1014	
477.71	1016	
477.742	1014	
477.774	1014	
477.806	1020	
477.838	1018	
477.87	1014	
477.902	1016	
477.934	1012	
477.966	1012	
477.998	1008	
478.029	1014	
478.061	1016	
478.093	1014	
478.125	1020	
478.157	1012	
478.189	1012	
478.221	1012	
478.253	1018	
478.285	1020	
478.317	1014	
478.348	1008	
478.38	1014	
478.412	1022	
478.444	1014	
478.476	1014	
478.508	1014	
478.54	1016	
478.572	1014	
478.603	1014	
478.635	1016	
478.667	1014	
478.699	1016	
478.731	1014	
478.763	1014	
478.795	1018	
478.827	1014	
478.858	1014	
478.89	1016	
478.922	1018	
478.954	1008	
478.986	1016	
479.018	1014	
479.05	1018	
479.082	1010	
479.113	1018	
479.145	1012	
479.177	1014	
479.209	1014	
479.241	1016	
479.273	1012	
479.305	1014	
479.336	1016	
479.368	1012	
479.4	1016	
479.432	1014	
479.464	1018	
479.496	1010	
479.528	1012	
479.559	1020	
479.591	1008	
479.623	1014	
479.655	1018	
479.687	1012	
479.719	1012	
479.75	1012	
479.782	1018	
479.814	1004	
479.846	1016	
479.878	1012	
479.91	1016	
479.942	1012	
479.973	1016	
480.005	1018	
480.037	1010	
480.069	1012	
480.101	1014	
480.132	1020	
480.164	1016	
480.196	1006	
480.228	1016	
480.26	1020	
480.292	1016	
480.323	1012	
480.355	1014	
480.387	1012	
480.419	1014	
480.451	1012	
480.483	1014	
480.514	1016	
480.546	1012	
480.578	1012	
480.61	1010	
480.642	1016	
480.673	1014	
480.705	1014	
480.737	1010	
480.769	1008	
480.801	1016	
480.832	1014	
480.864	1012	
480.896	1010	
480.928	1014	
