Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
746.083	5578	
746.113	5572	
746.142	5642	
746.171	5726	
746.2	5774	
746.229	5834	
746.258	5934	
746.287	5984	
746.316	6080	
746.345	6168	
746.374	6162	
746.403	6244	
746.433	6360	
746.462	6418	
746.491	6518	
746.52	6600	
746.549	6644	
746.578	6800	
746.607	6810	
746.636	6848	
746.665	7032	
746.694	7018	
746.723	7140	
746.753	7168	
746.782	7318	
746.811	7340	
746.84	7424	
746.869	7480	
746.898	7578	
746.927	7654	
746.956	7786	
746.985	7824	
747.014	7876	
747.043	7992	
747.072	8114	
747.101	8106	
747.13	8256	
747.159	8318	
747.189	8390	
747.218	8390	
747.247	8550	
747.276	8672	
747.305	8762	
747.334	8804	
747.363	8924	
747.392	9040	
747.421	9144	
747.45	9186	
747.479	9228	
747.508	9404	
747.537	9604	
747.566	9532	
747.595	9692	
747.624	9686	
747.653	9832	
747.682	9928	
747.711	10028	
747.74	10154	
747.77	10174	
747.799	10362	
747.828	10388	
747.857	10442	
747.886	10622	
747.915	10644	
747.944	10706	
747.973	10872	
748.002	10880	
748.031	11068	
748.06	11102	
748.089	11304	
748.118	11248	
748.147	11444	
748.176	11536	
748.205	11576	
748.234	11656	
748.263	11726	
748.292	11838	
748.321	11804	
748.35	11968	
748.379	11978	
748.408	12162	
748.437	12296	
748.466	12284	
748.495	12460	
748.524	12498	
748.553	12556	
748.582	12592	
748.611	12796	
748.64	12808	
748.669	12870	
748.698	12918	
748.727	13082	
748.756	13214	
748.785	13122	
748.814	13396	
748.843	13194	
748.872	13368	
748.901	13490	
748.93	13568	
748.959	13656	
748.988	13830	
749.017	14026	
749.046	13960	
749.075	13954	
749.104	14046	
749.133	14308	
749.162	14368	
749.191	14442	
749.22	14418	
749.249	14416	
749.278	14546	
749.307	14506	
749.336	14616	
749.365	14758	
749.394	14734	
749.423	14946	
749.452	14876	
749.481	14974	
749.51	15130	
749.539	15074	
749.568	15124	
749.596	15232	
749.625	15198	
749.654	15296	
749.683	15306	
749.712	15482	
749.741	15408	
749.77	15394	
749.799	15586	
749.828	15640	
749.857	15524	
749.886	15716	
749.915	15856	
749.944	15782	
749.973	15788	
750.002	16116	
750.031	15980	
750.06	16018	
750.089	16128	
750.118	16236	
750.147	16290	
750.175	16394	
750.204	16430	
750.233	16428	
750.262	16416	
750.291	16534	
750.32	16428	
750.349	16480	
750.378	16666	
750.407	16516	
750.436	16512	
750.465	16748	
750.494	16704	
750.523	16740	
750.552	16964	
750.58	16868	
750.609	16788	
750.638	16890	
750.667	16850	
