Wavelength (nm) - Plot 0	Amplitude (cts) - Plot 0	
706.795	3850	
706.825	3864	
706.854	3884	
706.884	3914	
706.914	3896	
706.944	3866	
706.973	3874	
707.003	3928	
707.033	3864	
707.063	3892	
707.092	3908	
707.122	3908	
707.152	3896	
707.181	3908	
707.211	3898	
707.241	3938	
707.271	3854	
707.3	3876	
707.33	3910	
707.36	3884	
707.389	3878	
707.419	3890	
707.449	3874	
707.479	3866	
707.508	3910	
707.538	3876	
707.568	3854	
707.597	3860	
707.627	3934	
707.657	3886	
707.686	3844	
707.716	3878	
707.746	3886	
707.776	3892	
707.805	3908	
707.835	3892	
707.865	3850	
707.894	3862	
707.924	3848	
707.954	3922	
707.983	3874	
708.013	3870	
708.043	3862	
708.072	3906	
708.102	3874	
708.132	3910	
708.162	3890	
708.191	3876	
708.221	3862	
708.251	3840	
708.28	3888	
708.31	3898	
708.34	3902	
708.369	3894	
708.399	3890	
708.429	3836	
708.458	3928	
708.488	3912	
708.518	3824	
708.547	3920	
708.577	3880	
708.607	3880	
708.636	3902	
708.666	3820	
708.696	3880	
708.725	3852	
708.755	3862	
708.785	3894	
708.814	3912	
708.844	3832	
708.874	3926	
708.903	3904	
708.933	3926	
708.963	3914	
708.992	3902	
709.022	3892	
709.051	3888	
709.081	3946	
709.111	3916	
709.14	3922	
709.17	3856	
709.2	3858	
709.229	3900	
709.259	3882	
709.289	3848	
709.318	3872	
709.348	3892	
709.378	3928	
709.407	3874	
709.437	3886	
709.466	3864	
709.496	3878	
709.526	3858	
709.555	3896	
709.585	3868	
709.615	3852	
709.644	3836	
709.674	3852	
709.703	3870	
709.733	3872	
709.763	3884	
709.792	3914	
709.822	3862	
709.852	3888	
709.881	3868	
709.911	3872	
709.94	3884	
709.97	3870	
710	3930	
710.029	3852	
710.059	3882	
710.088	3862	
710.118	3854	
710.148	3862	
710.177	3888	
710.207	3892	
710.236	3846	
710.266	3844	
710.296	3852	
710.325	3884	
710.355	3846	
710.384	3836	
710.414	3872	
710.444	3870	
710.473	3844	
710.503	3868	
710.532	3802	
710.562	3840	
710.592	3850	
710.621	3888	
710.651	3872	
710.68	3900	
710.71	3874	
710.74	3864	
710.769	3868	
710.799	3866	
710.828	3872	
710.858	3890	
710.887	3860	
710.917	3836	
710.947	3830	
710.976	3828	
711.006	3856	
711.035	3878	
711.065	3874	
711.094	3862	
711.124	3896	
711.154	3822	
711.183	3844	
711.213	3846	
711.242	3868	
711.272	3864	
711.301	3866	
711.331	3856	
711.36	3860	
711.39	3870	
711.42	3842	
711.449	3904	
711.479	3866	
711.508	3902	
711.538	3812	
711.567	3904	
711.597	3886	
711.626	3842	
711.656	3802	
711.686	3824	
711.715	3842	
711.745	3852	
711.774	3800	
711.804	3832	
711.833	3886	
711.863	3834	
711.892	3840	
711.922	3826	
711.951	3804	
711.981	3842	
712.01	3878	
712.04	3844	
712.07	3842	
712.099	3852	
712.129	3850	
712.158	3854	
712.188	3860	
712.217	3848	
712.247	3804	
712.276	3826	
712.306	3830	
712.335	3842	
712.365	3826	
712.394	3810	
712.424	3858	
712.453	3784	
712.483	3812	
712.512	3854	
712.542	3834	
712.571	3810	
712.601	3786	
712.63	3882	
712.66	3776	
712.689	3798	
712.719	3798	
712.748	3786	
712.778	3860	
712.807	3766	
712.837	3774	
712.866	3824	
712.896	3796	
712.925	3814	
712.955	3800	
712.984	3814	
713.014	3856	
713.043	3842	
713.073	3812	
713.102	3824	
713.132	3796	
713.161	3802	
713.191	3846	
713.22	3862	
713.25	3822	
713.279	3810	
713.309	3834	
713.338	3828	
713.368	3736	
713.397	3838	
713.427	3756	
713.456	3784	
713.486	3834	
713.515	3798	
713.545	3814	
713.574	3770	
713.604	3776	
713.633	3768	
713.662	3814	
713.692	3812	
713.721	3786	
713.751	3810	
713.78	3788	
713.81	3816	
713.839	3790	
713.869	3784	
713.898	3804	
713.928	3802	
713.957	3822	
713.987	3766	
714.016	3808	
714.045	3768	
714.075	3772	
714.104	3808	
714.134	3792	
714.163	3762	
714.193	3812	
714.222	3810	
714.252	3718	
714.281	3756	
714.311	3786	
714.34	3798	
714.369	3740	
714.399	3740	
714.428	3792	
714.458	3782	
714.487	3752	
714.517	3736	
714.546	3750	
714.575	3792	
714.605	3780	
714.634	3742	
714.664	3718	
714.693	3764	
714.723	3758	
714.752	3714	
714.781	3766	
714.811	3756	
714.84	3746	
714.87	3766	
714.899	3772	
714.929	3766	
714.958	3784	
714.987	3774	
715.017	3766	
715.046	3780	
715.076	3764	
715.105	3758	
715.134	3788	
715.164	3762	
715.193	3772	
715.223	3776	
715.252	3728	
715.281	3766	
715.311	3766	
715.34	3738	
715.37	3778	
715.399	3760	
715.428	3778	
715.458	3740	
715.487	3778	
715.517	3752	
715.546	3742	
715.575	3740	
715.605	3768	
715.634	3750	
715.664	3758	
715.693	3744	
715.722	3726	
715.752	3726	
715.781	3688	
715.811	3758	
715.84	3734	
715.869	3752	
715.899	3708	
715.928	3720	
715.957	3734	
715.987	3752	
716.016	3696	
716.046	3782	
716.075	3706	
716.104	3726	
716.134	3688	
716.163	3748	
716.192	3728	
716.222	3702	
716.251	3714	
716.28	3726	
716.31	3716	
716.339	3738	
716.369	3722	
716.398	3752	
716.427	3714	
716.457	3740	
716.486	3748	
716.515	3738	
716.545	3706	
716.574	3728	
716.603	3720	
716.633	3708	
716.662	3764	
716.691	3778	
716.721	3716	
716.75	3708	
716.779	3744	
716.809	3762	
716.838	3756	
716.867	3704	
716.897	3682	
716.926	3782	
716.956	3724	
716.985	3716	
717.014	3716	
717.044	3702	
717.073	3700	
717.102	3720	
717.131	3740	
717.161	3720	
717.19	3716	
717.219	3740	
717.249	3746	
717.278	3704	
717.307	3730	
717.337	3712	
717.366	3700	
717.395	3756	
717.425	3732	
717.454	3716	
717.483	3706	
717.513	3682	
717.542	3716	
717.571	3724	
717.601	3682	
717.63	3714	
717.659	3688	
717.689	3704	
717.718	3708	
717.747	3698	
717.776	3762	
717.806	3714	
717.835	3732	
717.864	3702	
717.894	3686	
717.923	3678	
717.952	3754	
717.982	3714	
718.011	3712	
718.04	3736	
718.069	3698	
718.099	3710	
718.128	3652	
718.157	3714	
718.187	3732	
718.216	3710	
718.245	3716	
718.274	3688	
718.304	3714	
718.333	3706	
718.362	3756	
718.392	3722	
718.421	3700	
718.45	3696	
718.479	3740	
718.509	3770	
718.538	3768	
718.567	3728	
718.596	3720	
718.626	3710	
718.655	3696	
718.684	3758	
718.714	3704	
718.743	3716	
718.772	3712	
718.801	3672	
718.831	3766	
718.86	3700	
718.889	3710	
718.918	3680	
718.948	3770	
718.977	3698	
719.006	3722	
719.035	3712	
719.065	3718	
719.094	3724	
719.123	3734	
719.152	3652	
719.182	3686	
719.211	3698	
719.24	3734	
719.269	3734	
719.299	3722	
719.328	3686	
719.357	3714	
719.386	3720	
719.416	3738	
719.445	3718	
719.474	3728	
719.503	3710	
719.532	3766	
719.562	3706	
719.591	3654	
